c1cc[nH+]c(c12)NC([O-])=CC(=N2)c3ccccc3
CCc(n1)n2c(cccc3)c3c(=[OH+])c(c2c14)c(cc4)NCC[NH+](C)C
O=C1CCCCN1CCC(=O)N2CCC[C@H](C2)CCc3ccccc3F
c1ccccc1C(=O)N(c(c23)cccc3)[C@H](C2)C(=O)NCCC[N@@H+]4CC[C@H](CC4)[NH+]5CCCCC5
C[C@@H](O)C[NH2+]CCNCc1cc(Br)ccc1OCc2ccc(Cl)cc2
CC(=O)Nc1ccc(cc1)C[NH2+]C[C@H](O)c2ccccc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2c(Cl)cccc2Cl
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccccc2
c1c(Cl)ccc(c12)[NH+]=C(NC)C=[N+]([O-])[C@H]2c3ccccc3
c1ccccc1\C=C\[C@@H](O)[C@@H](O)/C=C\c2ccccc2
CCOc1cccc(c1)C(=O)N2CCC[C@H](C2)c3[nH+]ccn3CCC[NH+](C)C
COCCCNC(=S)NCc1cccc(c1)COCc2ccccc2
Cc1c(C(=O)[O-])cccc1-c2ccc(o2)C[NH2+]CCc3ccc(Cl)cc3
c1c(Cl)ccc(c12)[NH+]=C(N)C=[N+]([O-])[C@H]2c3ccccc3
COc1ccc(cc1)CC[N@@H+]2CC[C@H](CC2)C[N@@H+](C)Cc3cc(Cl)c(O)c(c3)OC
c1ccccc1[C@H](C[N@H+](C2)CC)C[C@]23CC[N@@H+](CC3)Cc4ccc(o4)C(=O)NC
c1cc(Cl)ccc1[C@@H](O)C(=O)NCC[C@]23[N@H+](CCC2)CCC3
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccccc2C
c1ccccc1C[N@@H+](C2)C[C@H]([C@H]23)[C@H](CCCC3)[NH2+]Cc4ccnc(c4)O[C@H]5CCOC5
Fc1ccccc1COC[C@H](O)CN2CCO[C@H](C2)Cn3cccn3
Fc1ccccc1COC[C@H](O)CN2CCO[C@H](C2)Cn3cccn3
Fc1ccccc1COC[C@H](O)CN2CCO[C@H](C2)Cn3cccn3
c1ccccc1[C@H](C)CCNC(=O)NCC[C@@H](O)C(F)(F)F
Clc1ccc(cc1)COc2ccc(cc2)C[NH2+]CC3CC[NH2+]CC3
c1cccc(c12)[C@H](CO2)C(=O)NCc3cccc(c3)COCC(F)(F)F
CCC/C=C/C=C/[C@@H]1CC[C@H](O)[C@@H](O)[C@@H]1CO
C[NH+](C)CC(C)(C)C[NH2+]Cc1ccc(cc1)-n(cn2)c(c23)cccc3
C[NH+](C)CC(C)(C)C[NH2+]Cc1ccc(cc1)-n(cn2)c(c23)cccc3
C[NH+](C)CCCn1cc[nH+]c1C2CCN(CC2)C(=O)c(c3)[nH]c(c34)cccc4
C[NH+](C)C[C@H]1CCCC[C@@H](C[NH+](C)C)[C@H]1OC(=O)C(O)(c2ccccc2)c3ccccc3
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2cccc(Cl)c2
COc1ccccc1/C=C/CNc2ccc(C)c(c2)C(=O)N
COc1cccc(c12)cc(o2)[C@H](C)[NH2+]CCc(c3)[nH+]c(n34)CCCC4
c1[nH+]ccn1CCC[NH2+]Cc(cc2OC)ccc2OCc3cccc(C)c3
C[NH2+]CCC[NH2+]Cc1ccc(cc1)OCc2ccc(Cl)cc2
C[NH2+]CCC[NH2+]Cc1ccc(cc1)OCc2ccc(Cl)cc2
c1ccccc1[C@H](C[N@H+](C2)CC)C[C@]23CC[N@@H+](CC3)Cc4ccc(o4)C(=O)NC
Cc1ccc(cc1)CNC(=O)N2CCC[C@@H](C2)c3[nH+]ccn3CCC[NH+](C)C
C[C@H](O)CCNC(=O)Nc1cccc(c1)COCCc2ccccc2
C1CCc(c(=O)o2)c1c(c23)cc(Cl)c([O-])c3C[NH2+]CCc4ccc(F)cc4
c1[nH+]ccn1CCC[NH2+]Cc(cc2OC)ccc2OCc3ccccc3
c1ccccc1COc2cccc(c2)C[NH2+]CC3CC[NH2+]CC3
C[C@@H](O)C[C@@H](C)CNC(=O)c1ccccc1OCc2ccc(F)cc2
COc1ccc(cc1OC)C[N@@H+](CCC[NH3+])CC[C@]2(c3ccccc3)C[C@H](C)[N@H+](C)C[C@H]2C
COc1ccc(cc1OC)C[N@@H+](CCC[NH3+])CC[C@]2(c3ccccc3)C[C@H](C)[N@H+](C)C[C@H]2C
CNC(=O)c1ccc(o1)C[N@H+]2CCC[C@H](C2)CCc3ccc(F)cc3
CNC(=O)c1ccc(o1)C[N@H+]2CCC[C@H](C2)CCc3ccc(F)cc3
C[NH+](C)CCC[NH2+]Cc1c(ccc(c12)cccc2)OCc3ccc(F)cc3
C[NH+](C)CCC[NH2+]Cc1c(ccc(c12)cccc2)OCc3ccc(F)cc3
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccccc2C
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccccc2C
c1ccccc1[C@@H](CO)NC(=O)CC/C=C/C2CCCCC2
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccc(Cl)c(Cl)c2
C1C[NH2+]CCC1C[NH2+]Cc(cc2OC)ccc2OCc3ccc(C)cc3
Cn1cc[nH+]c1CCNC(=O)Nc2ccccc2C[N@H+](C)C3CCCCC3
Cc1ccc(cc1)COc2ccc(Cl)cc2C[NH2+]CCCN3CCCC3=O
CC(C)CNC(=O)[C@@H]1C[C@H](C[NH+]2CCCC2)C[N@@H+](C1)Cc(cc3)cc(c34)cccc4
CC(C)CNC(=O)[C@@H]1C[C@H](C[NH+]2CCCC2)C[N@@H+](C1)Cc(cc3)cc(c34)cccc4
CC(C)CNC(=O)[C@@H]1C[C@H](C[NH+]2CCCC2)C[N@@H+](C1)Cc(cc3)cc(c34)cccc4
CCOc1ccc(cc1CO)CN2CCC[C@H](C2)[N@@H+](C)CCc3ccc(OC)c(c3)OC
c1cccc(c12)cccc2[C@@H](C)[NH2+]C[C@H]3CC[N@@H+](CC3)CCO
C[NH+](C)CCCn1cc[nH+]c1[C@@H]2CCCN(C2)C(=O)CSc3ccccc3
Cc1ccc(c(C)c1)-n2ncc(c2C3CC[NH2+]CC3)C(=O)NCC[N@@H+](CC4)Cc(c45)cccc5
C[C@@H](O)C[C@H](C)CNC(=O)c1ccccc1OCc2ccc(F)cc2
c1ccccc1[C@@H](C(=O)N)NCCOCc2ccccc2Cl
c1ncccc1CNC(=O)c2ccccc2NC(=O)[C@H]3CC[N@@H+](CC3)Cc4ccccc4F
c1ncccc1CNC(=O)c2ccccc2NC(=O)[C@H]3CC[N@@H+](CC3)Cc4ccccc4F
c1cc(Cl)ccc1CNC(=O)NCC[C@@H](CCO)c2ccccc2
c1n[nH]cc1CCC(=O)N2CCO[C@@H](C2)CCCc3ccccc3
CC(=O)N[C@H]1CCCN(C1)C(=O)[C@H](C)CCCc2ccccc2
n1cccnc1Oc(cc2)ccc2C[N@H+](C)C[C@H]3CC[N@@H+](CC3)CCc4ccc(F)cc4
C[NH+](C)CCC[NH2+]Cc1ccc(cc1)OCc2ccccc2
c1cccc(c12)C(=O)N(C2=O)CCC(=O)NCCCCc3ccccc3
C[NH+](C)CCCn1cc[nH+]c1[C@H]2CCCN(C2)C(=O)NCc3ccccc3F
COc1ccc(cc1)/C=C/C[N@@H+](C[C@H]2CC[N@H+](C)CC2)CCc3ccc(OC)cc3
c1cccc(c12)O[C@@H](CO2)[C@@H](C)[NH2+]CCCCCC[NH2+][C@@H](C)[C@H](CO3)Oc(c34)cccc4
c1cc(F)ccc1CCNC(=O)Nc2ccccc2CN3CCNC3=O
c1ccccc1C[N@@H+](C2)C[C@H]([C@H]23)[C@H](CCCC3)[NH2+]Cc4ccnc(c4)O[C@H]5CCOC5
O=C([O-])c1ccccc1-c2ccc(cc2)C[N@@H+]3CCC[C@H]3c4ccccn4
c1[nH+]ccn1CCC[NH2+]Cc(cc2OC)ccc2OCc3ccc(F)cc3
[NH3+]CCCOc1ccc(cc1)C(=O)N(C2)C[C@H]([C@H]23)C[C@H](C3)Oc4ccccc4
CC(C)Oc1ccc(cc1OC)C[N@@H+](CC2)C[C@H]([C@]23CO)C[N@H+](C3)Cc4ccccc4
COc1ccc(cc1)CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(OC)c(c3)OC
COc1ccc(cc1)CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(OC)c(c3)OC
COc1ccc(cc1)CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(OC)c(c3)OC
o1cccc1[C@@](C)(O)CNC(=O)CCc2ccccc2F
c1ccccc1[C@H](C)CCNC(=O)NCCc2ccccn2
c1ccccc1\C=C\[C@@H](O)[C@@H](O)/C=C/c2ccccc2
c1ccccc1[C@H](C)CCNC(=O)NCc2ccccn2
Oc1ccccc1CC(=O)NCCC(C2)Cc(c23)cccc3
COc1ccc(cc1OC)C[N@H+](C)C[C@H]2CCC[N@H+](C2)CCc3ccc(F)cc3
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2cccc(Cl)c2
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2cccc(Cl)c2
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2cccc(Cl)c2
FC(F)(F)OC(F)(F)[C@@]1(O)C=C(C)NN1C(=O)CCCc2ccccc2
COc1ccccc1CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(cc3)OCCO
COc1ccccc1CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(cc3)OCCO
COc1ccccc1CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(cc3)OCCO
COc1ccccc1CC[N@@H+]2CCC[C@@H](C2)C[N@@H+](C)Cc3ccc(cc3)OCCO
CC(C)c1ccc(cc1)O[C@H]2C[N@H+](C[C@@H]2O)Cc3ccc(cc3)OCCO
C1CCN1C(=O)C[N@H+]2CC[C@@H](C2)c3cc([nH]n3)CCOc4ccc(C(F)(F)F)cc4
C1CCN1C(=O)C[N@H+]2CC[C@@H](C2)c3cc([nH]n3)CCOc4ccc(C(F)(F)F)cc4
[nH+]1c[nH]c(c1C)CN(CC[NH+](C)C)C(=O)CC(C)(C)c2ccccc2
Fc1ccc(cc1F)NC(=S)NCCCc2ccccc2
c1ccccc1[C@H](C)CCNC(=O)N[C@H](C)c2ccncc2
[NH3+]C[C@@H]1CC[N@@H+](C1)Cc2ccc(cc2)OCCc3ccccc3
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2c(F)cccc2Cl
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2c(F)cccc2Cl
C[NH+](C)CCC[NH2+]Cc1cn(-c2ccccc2)nc1-c(cc3)cc(c34)OCCO4
c1cc(Cl)ccc1[C@H](O)C(=O)NCCCc2ccccc2F
O1COc(c12)cc(cc2)CNC(=O)N3CCCC[C@H]3CCc4ccccn4
C1CCCCC[NH+]1C[C@@H](O)COc2cccc(c2)CNCc3ccccc3F
CC(=O)Nc1cccc(c1)CNC(=O)CC/C=C/c2ccccc2
COc1ccc(cc1)CC[N@@H+]2CC[C@H](CC2)C[N@@H+](C)Cc3c(OC)cc(OC)cc3OC
COc1ccc(cc1)CC[N@@H+]2CC[C@H](CC2)C[N@@H+](C)Cc3c(OC)cc(OC)cc3OC
C[NH2+]CCC[NH2+]Cc1c(ccc(c12)cccc2)OCc3ccc(Cl)cc3
C1C[N@@H+](C)CC[C@@H]1CC[NH2+][C@H](C)c2cnc(o2)-c3ccccc3
COc1ccc(cc1C)C(=O)N2CCC[C@@H](C2)c3[nH+]ccn3CCC[NH+](C)C
Cc(c1)[nH]c(c12)ccc(c2)CNC(=O)N[C@H]3CC(=O)N(C3)c4ccc(F)cc4
C1C[NH2+]CCC1C[NH2+]Cc(cc2OC)ccc2OCc3ccccc3C
c1ccccc1CC[NH2+]C[C@H](NC)CC[NH2+]CCc2ccccc2
C[NH2+]CCC[NH2+]Cc1ccc(c(Br)c1)OC(C)C
c1cc(Cl)ccc1[C@@H](O)C(=O)NCCCc2ccccc2F
CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)CCCc3ccccc3
C[NH2+]CCC[NH2+]Cc1ccc(c(Br)c1)OC(C)C
CC(=O)Nc1cccc(c1)N2C[C@@H](CC2=O)C(=O)NCCCc3ccccc3
c1[nH+]ccn1CCC[NH2+]Cc(cc2OC)ccc2OCc3cccc(Cl)c3
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2c(F)cccc2Cl
CC(=O)Nc1cccc(c1)[C@@H](C)NC(=O)[C@H](C2)Oc(c23)cccc3
C1CC[NH2+]Cc(n12)cc(n2)-c3nccn3-c4cccc(c4)C[NH+]5CCCCC5
c1ccccc1Cc2noc(c23)c(c([O-])cc3)C[NH+]4CCN(CC4)Cc(cc5)cc(c56)OCO6
c1ccccc1Cc2noc(c23)c(c([O-])cc3)C[NH+]4CCN(CC4)Cc(cc5)cc(c56)OCO6
OCCOCC[NH2+]Cc1cc(Cl)ccc1OCc2ccc(Cl)cc2
c1cccc(c12)nc(CC[NH3+])nc2NCC[C@H]3CC[N@@H+](CC3)C4CCCC4
Cc1ccccc1C[N@@H+]2CC[C@H](CC2)C(=O)Nc3ccccc3C(=O)NCc4cccnc4
C[NH+](C)CCCOc1ccc(cc1OC)C[N@@H+](C)C[C@@H](O)Cn2c(C(F)(F)F)nc(c23)cccc3
COc1ccc(F)c(c1)-c2nc(c(o2)C)C[N@H+](C3)CCC34CC[NH2+]CC4
O1COc(c12)cc(cc2)CCC(=O)NCCCc3ccccc3Cl
CC[C@H](C(=O)N)Nc1cccc(c1)COCCc2ccccc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccccc2Cl
c1cc(Cl)ccc1COC[C@H](O)C[NH+]2CCN(CC2)C[C@@H](O)COCc3ccc(Cl)cc3
c1cc(Cl)ccc1COC[C@H](O)C[NH+]2CCN(CC2)C[C@@H](O)COCc3ccc(Cl)cc3
Cc1ccccc1-c(o2)nc(c2C)C[N@@H+]3CCC[C@@H](C3)CC[NH3+]
CC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C/C=C/c3ccccc3
C[C@H](O)c1ccc(cc1)-c2ccc(o2)C[NH2+]CCCn3cc[nH+]c3
COc1ccc(c(c12)cccc2)-c3nc(c(o3)C)C[N@H+]4CC[C@@H](C4)C[NH3+]
COc1ccc(c(c12)cccc2)-c3nc(c(o3)C)C[N@H+]4CC[C@@H](C4)C[NH3+]
C[C@@H](O)CCNC(=O)Nc1cccc(c1)COCCc2ccccc2
OC[C@@](C)(O)CCCOCc1ccccc1Br
c1cc(F)ccc1COc2c(cccc2OC)C[NH2+]CC3CC[NH2+]CC3
Fc1ccc(F)cc1C[NH2+]Cc(ccc2OC)cc2OC[C@@H](O)C[NH+]3CCCCC3
c1cccc(c12)nc3c(CCC3)c2NC(=O)C[NH2+]CCc(c[nH]4)c(c45)cccc5
CC[N@H+]1CCC[C@H]1CN(Cc2cccnc2)Cc3cccc(c3)Oc4ncccn4
CCCCOc1cc(ccc1OC)C[NH2+]C[C@@H](C[NH+](C)C)[C@H](O)c2ccccc2
COC(=O)CCCNC(=O)c1ccccc1OCc2ccc(Cl)cc2
CC[N@@H+]1CCC[C@@H]1CN(Cc2cccnc2)Cc3cccc(c3)Oc4ncccn4
c1ccccc1CCNC(=O)[C@@H]2CC=CC[C@@H]2C(=O)OC[C@@H]3CCCO3
Cc1ccccc1-c(o2)nc(c2C)C[N@H+]3CCC[C@@H](C3)CC[NH3+]
c1ccccc1CCNC(=O)[C@H]2CCC(=O)N(C2)CCCN3CCCC3=O
Cn1cnnc1[C@H](C)NC(=O)NCCCc2ccccc2Cl
CC(C)NC(=O)Nc1ccc(cc1)C[NH2+]Cc2cn(nc2)Cc3ccccc3
O1CCOc(c12)cc(cc2)C[N@H+](CC)C[C@@H](O)CO[C@H](CCC3)c(c34)cccc4
O[C@@H]1COCC[C@H]1NC(=O)Cc2ccccc2OCc3ccccc3
C[NH2+]CCC[NH2+]Cc1ccc(cc1)OCc2ccc(Cl)cc2Cl
Cc1ccc(Cl)c(c1)OC[C@@]2(O)CCC[N@H+](C2)Cc3ccc(cc3)OCC[NH+](C)C
Fc1ccc(F)cc1C[NH2+]Cc(ccc2OC)cc2OC[C@@H](O)C[NH+]3CCCCC3
C1CC1[C@@](C)(CO)NC(=O)NCCCc2cccc(F)c2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCCc2ccccc2
c1cccc(c12)N(CC2)C(=O)NCc3ccc(cc3)C[NH+]4CCCC4
[NH3+]C[C@H]1CC[N@@H+](C1)Cc2cnc(nc2)-c3cccc(c34)cccc4
[NH3+]C[C@H]1CC[N@@H+](C1)Cc2cnc(nc2)-c3cccc(c34)cccc4
c1cnccc1[C@H](C)NC(=O)CCCc(c[nH]2)c(c23)cccc3
c1ccccc1[C@H](CC)OC[C@@H](O)C[N@@H+](CC2)Cc(c23)cccc3
C1CC1[C@](C)(CO)NC(=O)NCCCc2cccc(F)c2
C[NH2+]CCC[NH2+]Cc(cc1OCC)cc(Br)c1OCc2ccc(F)cc2
O1CCC[C@H]1CO[C@H](C(C)C)C(=O)NCCSCc2ccccc2F
c1cccc(c12)[C@@H](CO2)CNC(=O)NCCCc3ccccc3
c1ccccc1[C@@H](C(=O)N)NCCOCc2ccccc2Cl
COc1cccc(c1)CN(C)Cc2ccc(OC)c(c2)OC[C@@H](O)C[NH+]3CCN(C)CC3
COc1cccc(c1)CN(C)Cc2ccc(OC)c(c2)OC[C@@H](O)C[NH+]3CCN(C)CC3
CC[NH+](CC)C[C@H](O)COc1ccccc1C(=O)CCc2ccccc2
COc1ccc(cc1C(=O)N)CCOCc2ccccc2
O1CCC[C@@H]1CNC(=O)C(=O)NCCCCc2ccccc2
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccccc2C
c1ccccc1[C@H](C)CCNC(=O)NCc2ccnc(c2)N3CCOCC3
CC(C)[N@@H+]1CC[C@H](CC1)[N@H+]2CCN(C[C@H]2CCO)Cc3cccc(c3)OCc4ccccc4
c1ccccc1CN(C)C(=O)c(nn2C)c(c23)C[C@@H](CC3)[NH+]4CCN(CC4)c5ccccc5O
c1ccccc1CN(C)C(=O)c(nn2C)c(c23)C[C@@H](CC3)[NH+]4CCN(CC4)c5ccccc5O
CCOc1ccccc1NC(=O)NCC[C@@H](CCO)c2ccccc2
NC(=O)c1cc(ccc1Cl)NCCOc2ccccc2F
C1CCN1C(=O)C[N@H+]2CC[C@@H](C2)c3n[nH]c(c3)CCOc4ccc(C(F)(F)F)cc4
C1CCN1C(=O)C[N@H+]2CC[C@@H](C2)c3n[nH]c(c3)CCOc4ccc(C(F)(F)F)cc4
c1cccc(c12)C[N@@H+](CC2)C[C@H](O)COc3cccc(c3)C[NH2+]CCOc4ccccc4
CCCNC(=O)COC(=O)c1ccccc1OCc2ccc(Cl)cc2
c1ccccc1[C@H](C)CCNC(=O)NCC[C@H](O)C(F)(F)F
NC(=O)N(C)CCOc1ccc(C(F)(F)F)cc1
c1ccccc1OCC(=O)N(CC[NH+](C)C)C[C@@H]2CCC[N@H+](C2)Cc3ccccc3F
c1ccccc1C[N@H+](C2)CC[C@H]2CN(C)C(=O)c3cccc(c3)OC[C@H]4CCCO4
c1ccccc1CC[C@H](C)NC(=O)COc2cccc(c2)N3CCCC3=O
c1cc(F)ccc1CCC(=O)NCCOCc2ccccc2
Cc1[nH+]ccn1CC2(CC2)C[NH2+][C@@H]3CCC(=O)N(CC3)CC4CC4
Cc1[nH+]ccn1CC2(CC2)C[NH2+][C@@H]3CCC(=O)N(CC3)CC4CC4
C[NH+](C)CC(C)(C)C[NH2+]Cc1ccc(cc1)-n(cn2)c(c23)cccc3
[NH3+]CCC[NH2+]C1CCN(CC1)c2ccc(cc2)-c3cccc(F)c3
C1CCCCC[NH+]1C[C@@H](O)COc2cccc(c2)CNCc3ccccc3F
CC(=O)Nc1ccc(cc1C)S(=O)(=O)N2CCN(CC2)C/C=C/c3ccccc3
Clc1ccccc1[C@@H](O)C(=O)NCc2cccc(c2)CO
n1ccccc1[C@@H](C)NC(=O)NCCCc(c[nH]2)c(c23)cccc3
CC(C)[N@@H+]1CC[C@H](CC1)N2CC[N@H+](C[C@H]2CCO)Cc3cccc(c3)OCc4ccccc4
CC(C)[N@@H+]1CC[C@H](CC1)N2CC[N@H+](C[C@H]2CCO)Cc3cccc(c3)OCc4ccccc4
CC(=O)Nc1cccc(c1)[C@@H](C)NC(=O)[C@@H](C2)Oc(c23)cccc3
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2cccs2
C[NH2+]CCC[NH2+]Cc1cc(Cl)c(c(c1)OC)OCc2ccccc2
o1cccc1[C@@](C)(O)CNC(=O)C/C=C\c2cccc(F)c2
CCOc1cccc(c1)C[N@@H+](C)C[C@@H]2CCC[N@@H+](C2)CCc3ccc(OC)cc3
CCOc1cccc(c1)C[N@@H+](C)C[C@@H]2CCC[N@@H+](C2)CCc3ccc(OC)cc3
CCOc1cccc(c1)C[N@@H+](C)C[C@@H]2CCC[N@@H+](C2)CCc3ccc(OC)cc3
c1ccccc1[C@H](C)CCNC(=O)N[C@@H](C)c2ccncc2
Oc1ccccc1N2CC[NH+](CC2)C[C@H](O)COCc3ccccc3Cl
Oc1ccccc1N2CC[NH+](CC2)C[C@H](O)COCc3ccccc3Cl
Cc1cccc(c1)S(=O)(=O)NCC[C@@H](CCO)c2ccccc2
n1cnccc1CCC(=O)NCCOCc2ccc(Cl)cc2Cl
Clc(c1)c(F)ccc1S(=O)(=O)NCC[C@@H](CCO)c2ccccc2
CCCCc1[nH+]cc([nH]1)CN2CCO[C@H](C2)CCc3cc(C)ncn3
Cc1c(O)cccc1C(=O)N2CCC[C@@H](C2)[NH+]3CCN(CC3)c4ccccc4F
Cc1c(O)cccc1C(=O)N2CCC[C@@H](C2)[NH+]3CCN(CC3)c4ccccc4F
CC[C@@H](C)NC(=O)c1ccccc1NC(=O)CCc(cc2)cc(c23)OCO3
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2cccs2
C[NH+](C)CCC[NH2+]Cc(cc1OCC)ccc1OCc2cccs2
COc1ccc(cc1OC)C[N@@H+](CCC[NH3+])CC[C@@]2(c3ccccc3)C[C@@H](C)[N@H+](C)C[C@H]2C
C1CCc(c12)cc(cc2)CC(=O)NCc3ccccc3
OCCn1ccc(n1)-c2ccccc2OCc3ccc(F)cc3
c1cc(F)ccc1OC[C@@H](O)C[NH2+]CCc(c[nH]2)c(c23)cccc3
c1ncccc1Cn2c(C)c(cc2C)C[N@H+](C3)CCC34CC[NH2+]CC4
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCCc2ccccc2
C[C@@H]1C[C@H](C)C[N@H+](C1)C[C@@H](O)COc(cc2)cc(c23)CCC3
C[C@@H]1C[C@H](C)C[N@H+](C1)C[C@@H](O)COc(cc2)cc(c23)CCC3
COCCNC(=O)c1cc(N)ccc1N[C@@H](C)CCc2ccccc2
COc1ccc(cc1)CC[N@@H+]2CCC[C@H](C2)C[N@@H+](C)Cc3ccccc3OCCO
COc1ccc(cc1)CC[N@@H+]2CCC[C@H](C2)C[N@@H+](C)Cc3ccccc3OCCO
